엄청	MAG
QLED	NNP
설치기사	NNG
튀어나오	VA
가격대비	NNG
거거익선	NNG
번인	NNP
브갤	NNP
섭종	NNP
신결	NNP
길전	NNP
4DX	NNP
ost	NNP
OST	NNP
오에스티	NNP
브금	NNP
슈퍼호넷	NNP
탑건	NNP
F14	NNG
F18	NNG
헐리웃	NNG
배경음악	NNG
아이맥스	NNP
미션임파서블	NNP
개연성	NNG
아이스맨	NNP
니콜키드먼	NNP
브래드피트	NNP
항공점퍼	NNG
후방석	NNP
인생작	NNP
텐센트	NNP
트랜스포머	NNP
그란힐트	NNP
중국자본	NNG
턴제	NNP
개창렬	NNP
리세	NNP
5성	NNP
3성	NNP
랭커	NNP
극혐	NNP
클리어	NNP
나르타스	NNP
월정액	NNP
브붕이	NNP
세이르	NNP
에바	NNP
벨페른	NNP
브갤	NNP
베나캬	NNP
밴시나	NNP
브데이	NNP
벨리아스	NNP
레비아	NNP
브리코네	NNP
황제성	NNP
소녀전선	NNP
데스티니차일드	NNP
리세마라	NNP
w컨셉	NNP
더블유컨셉	NNP
위즈위드	NNP
29cm	NNP
무신사	NNP
블랙프라이데이	NNP
스타일쉐어	NNP
롱패딩	NNP
숏패딩	NNP
겟레디윗미	NNP
더비슈즈	NNP
에잇세컨즈	NNP
탑텐	NNP
무신사	NNP
스파오	NNP
브이로그	NNP
오프화이트	NNP
아우터	NNP
남사친	NNP
여사친	NNP
커버낫	NNP
룩북	NNP
블레이저	NNP
키작남	NNP
언박싱	NNP
프론트로우	NNP
오버핏	NNP
루즈핏	NNP
슬림핏	NNP
미니쿠퍼	NNP
네이버뮤직	NNP
재생목록	NNP
슈스스	NNP
닥스훈트	NNP
김태리	NNP
모한	NNP
앤유	NNP
유어네임히얼	NNP
그레이	NNG
두께감	NNG
존예	NNG
린넨	NNG
하이웨스트	NNP
진청	NNP
아우터	NNP
이사만루	NNP
공게임즈	NNP
특이폼	NNP
특폼	NNP
타구폼	NNP
투구폼	NNP
현질	NNP
세레머니	NNP
덱	NNP
컴투스프로야구	NNP
컴프야	NNP
폭투	NNP
저작권	NNP
서울패션위크	NNP
뉴발란스	NNP
이용권	NNG
일시정지	NNG
김대호	NNP
라이엇코리아	NNP
스틸에잇	NNP
그리핀	NNP
카나비	NNP
징동	NNP
하태경	NNP
e스포츠	NNP
씨맥	NNP
케스파	NNP
템퍼링	NNP
서진혁	NNP
lck	NNP
fa	NNP
에이밍	NNP
국민일보	NNP
떡락	NNG
먹스타그램	NNP
맛스타그램	NNP
그림스타그램	NNP
얼스타그램	NNP
취미스타그램	NNP
일상스타그램	NNP
팬아트	NNP
앱스토어	NNP
빌리아일리시	NNP
아리아나그란데	NNP
어플	NNP
문의글	NNG
상품평	NNG
부츠컷	NNP
리버시블	NNP
롱코트	NNP
플로	NNP
문의답변	NNP
원브랜드	NNP
리폼	NNP
웜톤	NNP
쿨톤	NNP
ㄱㅇㅇ	VA
가즈아	VV
개빡치다	VA
갠전	NNP
갠톡	NNP
개저씨	NNP
금수저	NNP
급식충	NNP
기레기	NNP
김여사	NNP
까빠	NNP
꾸안꾸	VA
끝판왕	NNP
낫닝겐	NNP
냥집사	NNP
네가지	NNP
싸가지	NNP
네다씹	NNP
ㄴㄷㅆ	NNP
노슬아치	NNP
뇌피셜	NNP
누물보	NNP
눈팅	NNP
뉴비	NNP
늅늅	NNP
느개비	NNP
느그빠	NNP
니기미	NNP
느금마	NNP
ㄴㄱㅁ	NNP
대프리카	NNP
덕질	NNP
덕통사고	NNP
돋다	VV
뒷담화	NNP
뚝배기	NNP
롬곡옾눞	NNP
리즈시절	NNP
링딩돋다	VA
만반잘부	NNP
맘충	NNP
머글	NNP
멍 때리다	VA
메갈년	NNP
메퇘지	NNP
반모	NNP
반신	NNP
방가요	VV
방가방가	VV
배사	NNP
번개팅	NNP
보슬아치	NNP
보이루	VV
복돌이	NNP
부카니스탄	NNP
뷔페미니즘	NNP
벅세권	NNP
빵국	NNP
빵터지다	VV
빻	NNP
뿜다	VV
사스가	NNP
세크스	NNP
스까	NNP
스까국	NNP
시바견	NNP
사이다	VA
성진국	NNP
손놈	NNP
썰	NNP
스릉한다	VV
스브스	NNP
크브스	NNP
마봉춘	NNP
씹덕	NNP
선비	NNP
솔까말	NNP
쌉캐리	NNP
아몰랑	VV
아재	NNP
아재개그	NNP
앙기모띠	NNP
얀데레	NNP
양각	NNP
어장관리	NNP
애니프사	NNP
오덕후	NNP
오덕	NNP
ㅗㅜㅑ	NNP
웅앵웅	NNP
오타쿠	NNP
유튭	NNP
용또취	NNP
웜퇘지	NNP
욜로	NNP
YOLO	NNP
응아니야	VV
이생망	NNP
인증	NNP
일베충	NNP
입덕	NNP
자캐	NNP
잠수	NNP
AFK	NNP
종결자	NNP
좆문가	NNP
지름신	NNP
짐승남	NNP
짐승돌	NNP
짱	VA
차애	VA
찰지다	VA
총알	NNP
최애	VA
최애캐	NNP
천조국	NNP
츤데레	NNP
컴백	NNP
콩라인	NNP
킹반인	NNP
킹만해	VA
탈덕	NNP
토착왜구	NNP
토착빨갱이	NNP
트수	NNP
포스	NNP
퍄	NNP
품절대란	NNP
헐	NNP
혜자	VA
한남	NNP
호모	NNP
호모나게이뭐야	NNP
호옹이	NNP
홍팍	NNP
후방주의	NNP
휴덕	NNP
흑우	NNP
희얼사	NNP
은수저	NNP
흙수저	NNP
흔한	VA
히익	NNP
훼이크	NNP
ㄱㄱ	VV
ㄱㄱㅅ	VV
ㄱㄷ	VV
ㄳ	VV
ㄱㅇㄷ	NNP
ㄱㅊ	VA
ㄲㅂ	VA
ㄲㅈ	VV
ㄴㄴ	VV
ㄷㄷ	NNP
ㄷㄷㄷ	NNP
ㄷㅊ	VV
ㅁㄴㅇㄹ	VA
ㅁㅊ	VA
ㅂㅂ	VV
ㅄ	NNP
ㅂㅅ	NNP
ㅅㄱ	NNP
ㅅㅂ	VA
ㅆㅂ	VA
ㅅㅅ	NNP
ㅇㅇ	VV
ㅇㄱㄹㅇ	VA
ㅇㄴ	NNP
ㅇㄷ	VV
ㅇㅂ	NNP
ㅇㅈ	VV
ㄴㅇㅈ	VV
ㅇㅋ	VV
ㅇㅎ	NNP
ㅈㄱㄴ	NNP
ㅈㄲ	VV
ㅈㄴ	NNP
ㅈㄹ	NNP
ㅈㅁ	NNP
ㅈㅅ	VV
ㅉㅉ	NNP
ㅊㅊ	NNP
ㅊㅋ	VV
ㅋㄷ	NNP
ㅎㅇ	NNP
ㅎㅎ	NNP
ㅗㅜㅑ	NNP
퍄	NNP
20000	VV
갑분싸	NNP
갑툭튀	NNP
강전	NNP
강추	NNP
강퇴	NNP
개취	NNP
갠소	NNP
갠전	NNP
겨털	NNP
게이	NNP
공구	NNP
귀척	NNP
근자감	NNP
글설리	NNP
알잘딱깔센	NNP
남사친	NNP
여사친	NNP
남친	NNP
남캐	NNP
여캐	NNP
낮져밤이	NNP
낮이밤져	NNP
낮이밤이	NNP
낮져밤져	NNP
내로남불	NNP
냉무	NNP
너또다	VV
노모	NNP
누물보	VV
닥본사	VV
답정너	NNP
데꿀멍	VA
돌싱	NNP
듣보	NNP
디시	NNP
롯백	NNP
맥날	NNP
문상	NNP
미드	NNP
미방	NNP
밀당	NNP
반반무	NNP
반반무마니	NNP
버정	NNP
버카충	VV
본방	NNP
본방사수	VV
불금	NNP
빛삭	NNP
광삭	NNP
브금	NNP
뽀샵	NNP
빼박캔트	VV
빼박	VV
별다줄	VV
빠샤	NNP
사캐	NNP
사파	NNP
새등	NNP
생파	NNP
생얼	NNP
쌩얼	NNP
셀카	NNP
솔까말	NNP
수꼴	NNP
스압	NNP
시망	NNP
신상	NNP
설참	NNP
아만보	NNP
야동	NNP
야사	NNP
야설	NNP
은꼴사	NNP
어쩔	VV
엄빠주의	NNP
엄친아	NNP
엑박	NNP
여친	NNP
오놀아놈	NNP
오유	NNP
옥희	NNP
우좀	NNP
움짤	NNP
웃대	NNP
웃프다	VA
음마	NNP
이태백	NNP
인강	NNP
동강	NNP
일코	NNP
일베	NNP
자게이	NNP
자만추	NNP
자삭	NNP
잤잤	NNP
졌잘싸	NNP
정팅	NNP
정모	NNP
제곧내	NNP
ㅈㄱㄴ	NNP
주존꼬	VV
주존찢	VV
직찍	NNP
직찍사	NNP
짤	NNP
짤방	NNP
차도남	NNP
차도녀	NNP
채금	NNP
출첵	NNP
치렝스	NNP
치맥	NNP
카공족	NNP
캐붕	NNP
케바케	NNP
키배	NNP
키보드워리어	NNP
트인낭	NNP
패완얼	NNP
프사	NNP
피방	NNP
한남	NNP
현백	NNP
흑형	NNP
ASKY	NNP
DDR	VV
TMI	NNP
TMT	NNP
고나리	NNP
뭥미	NNP
밍나	NNP
수듄	NNP
오나전	NNP
항가항가	NNP
스빈다	NNP
젭라	VA
돚거	NNP
말안드뤄	VV
개피	NNP
딸피	NNP
갱	NNP
광클	NNP
막자	NNP
다굴	NNP
렙업	NNP
렙따	NNP
롤	NNP
리타이어	NNP
막타	NNP
만렙	NNP
고렙	NNP
저렙	NNP
몹	NNP
물고기방	NNP
무과금러	NNP
현질러	NNP
반샷	NNP
백섭	NNP
빽섭	NNP
빽썹	NNP
본캐	NNP
부리야	NNP
부캐	NNP
뽀헤	NNP
샷충	NNP
선빵필승	NNP
순삭	VV
실피	NNP
양각	NNP
앵벌이	NNP
어그로	NNP
여포	NNP
열렙	NNP
젠되다	VV
존버	NNP
종특	NNP
주차	NNP
GG	NNP
ㅈㅈ	NNP
쩔	NNP
ㅋㅋ	NNP
캐삭	NNP
크리	VV
킬딸	VV
테크트리	NNP
팀전	NNP
갠전	NNP
쿨타임	NNP
쿨탐	NNP
ㅌㅌ	NNP
팀킬	VV
PK	NNP
파밍	NNP
풀파츠	NNP
개드립	NNP
드립	NNP
갤럼	NNP
관광	NNP
고담	NNP
네덕	NNP
대첩	NNP
레알	NNP
붕이	NNP
병림픽	NNP
병머금	VV
병먹금	VV
ㅂㅁㄱ	VV
삼일한	NNP
운지	NNP
유식대장	NNP
일기방패	NNP
튼튼데스네	NNP
종범	NNP
클린디시	NNP
클린야갤	NNP
탈갤	VV
퇴갤	VV
ㅍㅌㅊ	VV
후새드	VV
뜨또	NNP
호옹이	NNP
으어뚠어뚠	NNP
육군	NNP
곰국	NNP
룡긍곰	NNP
게이	NNP
대륙	NNP
반도	NNP
발기	NNP
아재	NNP
열도	NNP
오글거리다	VA
쩔다	VV
찌르다	VV
리얼돋다	VA
먹방	NNP
옥동자	NNP
29만원	NNP
716	NNP
간철수	NNP
가카	NNP
나베	NNP
더듬어민주당	NNP
더듬어만진당	NNP
땅크성님	NNP
런승만	NNP
맹바기	NNP
모래시계	NNP
물태우	NNP
반인반신	NNP
데미갓	NNP
빵삼이	NNP
슨상님	NNP
원숭이	NNP
원조 가카	NNP
이부망천	NNP
저승만	NNP
재규어	NNP
전땅크	NNP
쥐박이	NNP
쥐새끼	NNP
쩔뚝이	NNP
차떼기	NNP
천막당사	NNP
천막살이	NNP
토착왜구	NNP
토왜	NNP
펭귄	NNP
형보수지	NNP
홍찍자지	NNP
MC무현	NNP
고무통	NNP
노시개	NNP
노알라	NNP
노짱	NNP
503	NNP
귀태	NNP
그네	NNP
근혜어	NNP
길라임	NNP
나대블츠	NNP
닭근혜	NNP
댓통령	NNP
레이디가카	NNP
바쁜벌꿀	NNP
수첩공주	NNP
얼음공주	NNP
유신공주	NNP
유체이탈 화법	NNP
최대통령	NNP
칠푼이	NNP
쿼터갓	NNP
통곡의 벽	NNP
곰재인	NNP
귀걸이 아빠	NNP
달빛기사단	NNP
대깨문	NNP
문각기동대	NNP
문구라	NNP
문벌구	NNP
문베충	NNP
문슬람	NNP
문유라	NNP
문재앙	NNP
문재인버스	NNP
문죄인	NNP
문주주의	NNP
문주당	NNP
어대문	NNP
이니	NNP
투대문	NNP
RSVP	VV
ASAP	VA
LMK	VV
BRB	VV
TGIF	NNP
ETA	NNP
IMO	NNP
IMHO	NNP
N/A	VA
aka	NNP
DIY	VV
FYI	NNP
XOXO	NNP
BFF	NNP
GR8	VA
LOL	VV
OMG	VA
Thnx	VV
Thx	VV
VIP	NNP
KO	VV
CEO	NNP
GPS	NNP
OLED	NNP
QLED	NNP
뽀짝	VA
예민보스	VV
존맛탱	VA
JMT	VA
혼코노	NNP
마상	NNP
커엽다	VA
복세편살	NNP
영고	NNP
댕댕이	NNP
머쓱타드	VA
고답	VA
믿거	VV
뽀시래기	NNP
얼죽아	NNP
비담	NNP
삼귀다	NNP
인싸	NNP
아싸	NNP
#G	NNP
소확행	NNP
읽페	NNP
좋페	NNP
막내온탑	NNP
번달번줌	VV
우유남	NNP
이학망	VV
저새또쟈	VV
오저치고	VV
꾸안꾸	VA
수그리족	NNP
만반잘부	VV
빠태	NNP
혼모노	VV
인만추	NNP
아만추	NNP
애빼시	NNP
렬루	VA
갑분띠	NNP
갑통알	NNP
우주뿌셔	NNP
사바사	NNP
0개국어	NNP
덕페이스	NNP
와우내	NNP
워라밸	NNP
스라밸	NNP
꼰대	NNP
꼰대가르송	NNP
법블레스유	VV
엄근진	VA
나일리지	NNP
고인물	NNP
옴뇸뇸	NNP
도랏	VV
맥세권	NNP
다세권	NNP
팬아저	NNP
빌런	NNP
성덕	NNP
띵언	NNP
할많하않	VV
세젤예	VA
현타	NNP
케바케	NNP
아삽	NNP
혼바비언	NNP
철아따	NNP
톤그로	NNP
반모	NNP
설참	NNP
미방	NNP
가심비	NNP
낄낄빠빠	VV
댓망진창	NNP
무지개매너	NNP
시강	NNP
쉼포족	NNP
퇴준생	NNP
파덜어택	VV
엄크리	NNP
딩크	NNP
플렉스	NNP
스웩	NNP
스웨거	NNP
사전예약	NNG
코로나19	NNP
코로나바이러스	NNP
신종코로나바이러스	NNP
더불어민주당	NNP	10.0
더민주	NNP	10.0
새누리당	NNP	10.0
새누리	NNP
필리버스터	NNP
사전투표	NNG
대선판	NNG
미래통합당	NNP	10.0
미통당	NNP
자한당	NNP
자유한국당	NNP	10.0
우한	NNP
신천지	NNP
문재인	NNP	10.0
국민의당	NNP	10.0
곽상언	NNP	10.0
권영진	NNP	10.0
5부제	NNP	10.0
이재명	NNP	10.0
사회적거리두기	NNP	10.0
